1665735694,344012
1665735694,323340
1665735695,421739
1665735695,418876
1665735695,431027
1665735695,416432
1665735695,423904
1665735695,419854
1665735695,715539
1665735695,430329
1665735695,419713
1665735714,353167
1665735714,354494
1665735714,372931
1665735714,362665
1665735714,357427
1665735714,356938
1665735715,457574
1665735715,2068444
1665735715,465606
1665735715,1131715
1665735715,447239
1665735715,486906
1665735715,592850
1665735715,481389
1665735715,481598
1665735715,494379
1665735715,441861
1665735715,493401
1665735715,436903
1665735715,22307460
